8176	9
197700	205
114071	9
31542	43865
35973	9
49619	92
173607	43
10458	1
15821	4
230454	26
20143	12
19863	462
64663	9
4511	633
62113	24
25212	223
147876	268
147879	193
129610	9
154360	380
77836	11
131564	14095
120478	207
196195	142
207231	21
201285	4
68362	71
38342	8
74480	135283
210924	4
171252	29184
179478	59
42432	352
225931	18
182738	110
172347	8
189516	54
77148	96
95046	6
215213	10443
103425	31
12960	528
48783	13
35796	25174
57467	15
193219	113
61863	11
71530	16
73022	18152
189870	6
30703	14955
20888	13
22479	292
27378	38
215021	28
117677	6
38303	36090
90472	19
110293	28
211384	11201
226807	22
21284	73
100677	18
55996	184
174769	6
222886	26596
217782	10
170862	276
214733	24
26137	79
137166	8
207600	125
89371	13
182711	29
13247	16
127458	591
219844	30
34141	203
45885	90
191012	90
89236	9
59983	5
177639	182
2118	29
221728	35
3311	9
188545	54
158097	59
133192	931
220325	12
42801	2
30231	44
175767	10
193428	13
19580	63624
87519	11
17094	42
107296	21
128053	9
166970	56
60910	294
162027	112
128951	5
76410	12914
184829	13
40537	10
160267	107
71299	39
220346	18
73224	11
141093	16
86044	57
153688	4
157726	292
153782	8
163897	96
50064	18
26658	10634
14282	131
188927	97
72467	22
160104	9
103336	14
128690	1
106433	88
147074	5
144554	4
25764	18
64812	6
169302	15
152284	10
172298	3
3344	11
43789	2
110967	31
14849	156
23827	70
52405	65
156063	9
48565	7
116199	21
148980	24
38268	30
211596	76
100798	180
220670	6
66560	179
8350	52
50278	51
194220	16
175459	13
164937	124
191448	11
208360	71
196245	11
217926	11
35116	33
30905	185
204706	23
224223	35
122612	12
222224	5464
14411	54
59758	22
33531	9
31801	35
124433	65
29332	91
21374	11
123415	10
204936	60
11210	45
82160	13
82420	30
3019	4
143646	157
104909	6
64188	6
67030	8
43161	13
186245	7
177901	22
24218	112
5581	74
154044	4
87661	58
93793	30
95266	69
135828	42
149142	2089
125533	13
180204	133
187685	28
102193	570
169612	8
86961	29
130505	9
91220	23
112407	81
138178	13
113418	72
4056	8
168131	19
201903	148
170030	6
95910	57
17372	33
123290	49
46629	94
130697	96
98217	10
181376	28
46153	21
2049	15
5349	169
12046	124
209005	8
143333	581
99289	62
168202	274
48850	32
120656	101
43700	11
84987	8
199328	846
98117	17
214845	12
122240	11
188676	38
8243	1
109858	10
9907	348
19926	21
26563	169
149084	21
182587	168
152491	13
20688	333
50830	11
148004	154
138128	31
190744	177
212349	8
50690	7
180124	7
66950	12
113015	11
83208	22
123072	151
160499	11
78975	60
145303	4
154361	156
22719	341
92271	14
9682	11
193881	134
80391	7
116082	318
25141	5
58409	8
70657	5
81294	95
93509	334
98391	9
113968	6
59265	5
17520	12
166462	31
202865	27
32280	407
74109	50
73800	4
78623	23
12785	66
201229	35
205654	269
215895	7
57851	186
54431	50
122301	53
139928	27
118967	4
161425	7
61673	18
40205	38
209393	25
177594	165
39855	14
23603	264
152701	14
123212	74
191078	17
83891	4
216796	55
162826	90
191395	14
67173	4
101029	10
204066	325
11029	23
30099	84
36461	8
224634	48
151141	1
39791	18
127933	26
7255	56
214680	49
226201	9
175914	11
198464	20
103969	25
209957	18
20070	33
3010	44
112052	13
228952	181
113256	19
8564	496
57094	50
108734	28
80102	14
186537	482
141605	26
42450	138
88592	44
162282	19
214235	91
184807	12
193914	243
132871	15
203390	98
74532	18
119934	4
96779	14
95866	85
172722	31
184897	53
183711	39
67291	3
152794	12
119306	9
161499	13
27518	4376
72694	14
216390	9
74690	54
210400	106
114220	30
29065	11
67986	70
228596	52
70977	20
187545	112
180394	55
211533	334
155389	103
210688	116
218570	5
208370	20
123040	77
149292	44
74296	27
163952	183
81478	6
213124	43
137791	26
76885	2
41798	14
147111	3
46853	15
133696	68
137373	5
49939	302
37481	8
215394	34
11690	12
140725	14
36329	256
47628	17
151469	288
126597	8
65598	18765
201019	14
115332	456
150408	5
227311	57
34450	53
219148	62
138405	19
46796	11
183349	366
169741	6
129368	366
158185	8
122745	17
86951	12
198792	93
167880	16
96975	88
106503	10
21638	41
224763	141
110246	15
60311	4
110991	117
205479	39
22047	18
165745	64
53186	339
35043	20
22010	56
203381	8
10325	20
14874	31
61122	33
25255	3
96708	14
58023	9549
9462	10
210617	24
199160	205
163147	7
175216	5
211647	192
172046	6
123298	14
203947	68
201628	253
207673	5
214388	15
40567	4
103868	8
18734	17
170395	19
45709	85
170629	14
182645	16
106109	11
83779	282
216493	27
2022	1096
206202	27
32178	543
133434	20
68699	170
62778	4
69240	10
155370	6
84082	11
16218	135
219293	5
199311	4
14099	12
207685	25
156788	80
218855	4
121015	493
24539	27
81362	10
187778	7
228517	9
179373	22
188358	7
161836	16
141550	16
4615	94
95618	19
29869	256
127130	44
62209	3
69659	9
222662	25
37676	222
96171	7
32650	108
